GENERACION,POBLACION,MUTACION,CRUCE,max fit,mean fit,max fit,mean fit,max fit,mean fit,max fit,mean fit
100.0,100.0,0.4,0.7,557.0,414.10169999999994,566.0,412.24979999999994,549.0,389.49369999999993,562.0,442.98789999999985
100.0,100.0,0.4,0.8,557.0,444.6576000000001,566.0,436.87110000000007,549.0,425.0303,562.0,444.94929999999994
100.0,100.0,0.4,0.95,557.0,441.0464999999999,566.0,437.13680000000005,549.0,419.08639999999997,562.0,445.48650000000004
100.0,100.0,0.5,0.7,557.0,413.9465,566.0,413.3707999999999,549.0,396.25680000000006,562.0,415.737
100.0,100.0,0.5,0.8,557.0,415.33889999999997,566.0,411.2421,549.0,383.03189999999995,562.0,420.89470000000006
100.0,100.0,0.5,0.95,557.0,421.43659999999994,566.0,402.8961,549.0,392.49989999999997,562.0,419.6185
100.0,100.0,0.65,0.7,557.0,372.7584000000001,566.0,363.966,549.0,354.4906,562.0,374.1039
100.0,100.0,0.65,0.8,557.0,367.6415,566.0,369.44,561.0,349.24159999999995,562.0,371.1656
100.0,100.0,0.65,0.95,557.0,377.1407,566.0,345.88980000000004,561.0,362.1649,562.0,378.68000000000006
100.0,150.0,0.4,0.7,557.0,425.77166666666665,566.0,439.37786666666665,561.0,433.6632666666667,562.0,446.26426666666674
100.0,150.0,0.4,0.8,557.0,443.7143333333334,566.0,445.0809333333333,561.0,435.07360000000017,562.0,446.25333333333333
100.0,150.0,0.4,0.95,557.0,442.7491333333333,566.0,443.2937333333334,561.0,443.4150666666667,562.0,444.49159999999995
100.0,150.0,0.5,0.7,557.0,415.9740666666666,566.0,417.9937333333333,561.0,413.5453333333333,562.0,419.1251333333333
100.0,150.0,0.5,0.8,561.0,419.9919333333333,566.0,418.61839999999995,561.0,406.6046666666667,562.0,419.1818666666667
100.0,150.0,0.5,0.95,561.0,418.3516,566.0,413.45059999999995,561.0,413.4541333333334,562.0,417.0226666666667
100.0,150.0,0.65,0.7,561.0,383.5144666666667,566.0,360.7368,561.0,365.4809333333334,562.0,377.7072666666666
100.0,150.0,0.65,0.8,561.0,381.98066666666665,566.0,376.30146666666667,561.0,370.8433333333334,562.0,370.55753333333325
100.0,150.0,0.65,0.95,561.0,383.0116666666667,566.0,376.3016666666666,561.0,368.2536666666667,562.0,375.12746666666663
100.0,200.0,0.4,0.7,550.0,405.05845,566.0,445.81719999999996,561.0,440.4666,562.0,444.33705000000003
100.0,200.0,0.4,0.8,556.0,413.7858000000001,566.0,442.3191999999999,561.0,442.85235,562.0,444.73594999999995
100.0,200.0,0.4,0.95,556.0,430.33859999999993,566.0,444.4209,561.0,440.62385,562.0,446.68055
100.0,200.0,0.5,0.7,556.0,403.1664,566.0,416.69620000000003,561.0,410.89369999999985,562.0,415.85965
100.0,200.0,0.5,0.8,556.0,400.2111,566.0,418.2315000000001,561.0,413.45024999999987,562.0,418.10065
100.0,200.0,0.5,0.95,556.0,401.67730000000006,566.0,417.80760000000004,561.0,409.6749,562.0,410.3345
100.0,200.0,0.65,0.7,556.0,364.78295,566.0,377.3363499999999,561.0,368.58799999999997,562.0,380.8409
100.0,200.0,0.65,0.8,556.0,357.0168,566.0,373.9577499999999,561.0,372.4491,562.0,381.7815000000001
100.0,200.0,0.65,0.95,564.0,365.06895,566.0,370.3556,561.0,367.18159999999995,562.0,378.93339999999995
150.0,100.0,0.4,0.7,564.0,440.1202,566.0,448.1893333333333,562.0,432.53266666666667,562.0,448.362
150.0,100.0,0.4,0.8,564.0,439.45079999999996,566.0,447.35906666666676,562.0,444.44919999999996,562.0,444.92940000000004
150.0,100.0,0.4,0.95,564.0,444.9572,566.0,449.7982666666666,562.0,444.0917333333333,562.0,448.2712666666667
150.0,100.0,0.5,0.7,564.0,417.06533333333334,566.0,420.23920000000004,562.0,417.3151333333333,562.0,417.24420000000003
150.0,100.0,0.5,0.8,564.0,419.62800000000004,566.0,420.33000000000004,562.0,419.60686666666663,562.0,422.4875333333334
150.0,100.0,0.5,0.95,564.0,417.64826666666664,566.0,420.9314,562.0,412.17013333333324,562.0,420.70453333333336
150.0,100.0,0.65,0.7,564.0,371.6646666666666,566.0,382.3611333333333,562.0,365.38486666666665,562.0,383.0081333333333
150.0,100.0,0.65,0.8,564.0,371.7642666666667,566.0,384.7488,562.0,372.95293333333336,562.0,373.8374666666666
150.0,100.0,0.65,0.95,564.0,377.88486666666665,566.0,380.60206666666664,563.0,373.52313333333336,562.0,378.22093333333333
150.0,150.0,0.4,0.7,564.0,439.2181777777778,566.0,446.5123111111112,563.0,445.7774222222223,562.0,443.6715111111112
150.0,150.0,0.4,0.8,564.0,446.78204444444435,566.0,451.39048888888897,563.0,444.45866666666666,562.0,448.11813333333333
150.0,150.0,0.4,0.95,564.0,446.1720888888888,566.0,442.53293333333335,563.0,445.1830666666666,562.0,451.82302222222216
150.0,150.0,0.5,0.7,564.0,416.0716888888889,566.0,421.7095111111111,564.0,417.4751111111111,562.0,416.41911111111114
150.0,150.0,0.5,0.8,564.0,416.6375111111111,566.0,418.3617333333333,564.0,414.7140444444444,562.0,418.60293333333334
150.0,150.0,0.5,0.95,564.0,417.59004444444446,566.0,418.3308444444445,564.0,414.3943555555556,562.0,424.4271111111111
150.0,150.0,0.65,0.7,564.0,372.55448888888895,566.0,377.5701777777778,564.0,379.11826666666667,562.0,382.2155555555556
150.0,150.0,0.65,0.8,564.0,371.5379555555555,566.0,372.6137777777778,567.0,377.1344888888888,562.0,378.2017333333333
150.0,150.0,0.65,0.95,564.0,375.3192888888889,566.0,374.1654666666666,567.0,382.91915555555556,562.0,375.30768888888883
150.0,200.0,0.4,0.7,551.0,417.6706333333333,566.0,440.91599999999994,567.0,444.4122,562.0,442.2642
150.0,200.0,0.4,0.8,557.0,420.86426666666665,566.0,442.52886666666666,567.0,447.2034666666667,566.0,450.26473333333337
150.0,200.0,0.4,0.95,551.0,417.4035666666667,566.0,444.4342333333333,567.0,446.1267333333334,566.0,443.67253333333326
150.0,200.0,0.5,0.7,551.0,396.65413333333333,566.0,416.86353333333335,567.0,419.65009999999995,566.0,424.0565
150.0,200.0,0.5,0.8,551.0,405.77483333333333,566.0,418.02573333333333,567.0,416.5912666666667,566.0,418.40416666666664
150.0,200.0,0.5,0.95,551.0,404.1561666666667,566.0,416.37676666666664,567.0,421.6085333333333,567.0,421.17543333333333
150.0,200.0,0.65,0.7,551.0,361.5285333333333,566.0,374.4136,567.0,378.61313333333334,568.0,377.37666666666667
150.0,200.0,0.65,0.8,551.0,361.7863,567.0,374.9258,567.0,375.75140000000005,568.0,382.85819999999995
150.0,200.0,0.65,0.95,551.0,362.3006666666667,567.0,375.8619333333333,568.0,376.57689999999997,568.0,380.0049
175.0,100.0,0.4,0.7,551.0,431.3067428571428,482.0,369.0202857142857,552.0,420.7057142857143,568.0,448.8674857142857
175.0,100.0,0.4,0.8,551.0,440.2222857142857,482.0,384.61045714285706,552.0,436.3206285714286,568.0,454.35794285714286
175.0,100.0,0.4,0.95,551.0,436.42702857142865,539.0,426.2919428571428,552.0,434.8824,568.0,453.88400000000007
175.0,100.0,0.5,0.7,551.0,407.40371428571433,539.0,405.8202285714285,561.0,411.52114285714293,568.0,426.6183428571428
175.0,100.0,0.5,0.8,551.0,411.1513714285714,539.0,399.9077142857143,561.0,419.6552571428571,568.0,424.75274285714283
175.0,100.0,0.5,0.95,551.0,403.7767999999999,539.0,406.7551428571428,561.0,414.3563999999999,568.0,421.8456
175.0,100.0,0.65,0.7,551.0,368.08788571428573,539.0,369.66925714285713,564.0,376.22040000000004,568.0,387.10668571428573
175.0,100.0,0.65,0.8,551.0,365.54857142857145,539.0,371.2909142857143,564.0,380.6671428571428,568.0,388.10799999999995
175.0,100.0,0.65,0.95,551.0,360.6309142857142,539.0,366.81108571428575,564.0,379.2656571428571,568.0,385.2742857142857
175.0,150.0,0.4,0.7,551.0,438.2705904761905,400.0,316.24666666666667,564.0,446.20369523809524,568.0,456.3279238095238
175.0,150.0,0.4,0.8,551.0,436.5765333333333,400.0,320.8501333333333,564.0,448.5895619047619,568.0,454.5642666666667
175.0,150.0,0.4,0.95,551.0,434.4407238095238,400.0,319.5888,564.0,447.2314285714286,568.0,453.7658285714286
175.0,150.0,0.5,0.7,551.0,408.95535238095243,400.0,302.4916571428571,564.0,421.4011047619047,568.0,427.4856380952381
175.0,150.0,0.5,0.8,551.0,409.86152380952376,400.0,302.8001904761905,564.0,418.2148952380952,568.0,421.4371428571429
175.0,150.0,0.5,0.95,551.0,406.7716190476191,415.0,313.3825523809524,564.0,417.7941333333333,568.0,421.39805714285706
175.0,150.0,0.65,0.7,551.0,365.1136761904762,435.0,297.08518095238094,564.0,379.7316571428571,568.0,383.3583238095237
175.0,150.0,0.65,0.8,551.0,371.3066666666667,444.0,303.2481904761905,565.0,380.4214476190477,568.0,380.96937142857143
175.0,150.0,0.65,0.95,560.0,370.0195047619048,494.0,330.1208,565.0,380.58068571428566,568.0,386.7923428571428
175.0,200.0,0.4,0.7,555.0,428.45194285714285,494.0,393.90985714285716,565.0,444.0541714285714,568.0,449.2128
175.0,200.0,0.4,0.8,555.0,439.0354571428571,494.0,390.3092285714285,566.0,445.3255714285714,568.0,451.50994285714296
175.0,200.0,0.4,0.95,555.0,439.26222857142864,544.0,426.96131428571425,566.0,449.9897428571428,568.0,452.79765714285713
175.0,200.0,0.5,0.7,555.0,412.3644000000001,544.0,410.6349428571429,566.0,422.8059142857143,545.0,389.8525142857143
175.0,200.0,0.5,0.8,555.0,413.3450571428571,544.0,406.3632285714286,554.0,402.97717142857147,545.0,406.52514285714284
175.0,200.0,0.5,0.95,555.0,412.3633142857143,544.0,410.5785714285714,554.0,409.6635142857143,557.0,417.3765428571428
175.0,200.0,0.65,0.7,568.0,375.8574285714286,545.0,375.6214,559.0,374.8686857142857,558.0,375.18448571428576
175.0,200.0,0.65,0.8,568.0,376.1040857142857,547.0,370.76517142857136,562.0,381.30731428571426,559.0,372.66731428571427
175.0,200.0,0.65,0.95,568.0,377.27834285714283,547.0,370.57742857142864,562.0,381.2335428571428,559.0,377.2955714285714
